"Story","Title","Result","Date","Stability","Duration (s)"
"Category CURD test with steps","This will create new category","SUCCESS","2022-06-07T18:12:39.053+01:00[Europe/London]","0.0","7.96"
"Category CURD test with steps","Verify if the category was added to the application","SUCCESS","2022-06-07T18:12:47.045+01:00[Europe/London]","0.0","0.13"
"Category CURD test with steps","This will update the category","SUCCESS","2022-06-07T18:12:47.179+01:00[Europe/London]","0.0","0.26"
"Category CURD test with steps","Delete the category and verify if the student is deleted!","SUCCESS","2022-06-07T18:12:47.440+01:00[Europe/London]","0.0","1.01"
"Product CURD test with steps","This will create new product","SUCCESS","2022-06-07T18:12:52.817+01:00[Europe/London]","0.0","0.19"
"Product CURD test with steps","Verify if the product was added to the application","SUCCESS","2022-06-07T18:12:53.009+01:00[Europe/London]","0.0","0.06"
"Product CURD test with steps","Update the Proudct information and verify the updated information","SUCCESS","2022-06-07T18:12:53.070+01:00[Europe/London]","0.0","0.14"
"Product CURD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2022-06-07T18:12:53.216+01:00[Europe/London]","0.0","0.13"
"Service CURD test with steps","This will create new Services","SUCCESS","2022-06-07T18:12:53.553+01:00[Europe/London]","0.0","0.17"
"Service CURD test with steps","Verify if the Services was added to the application","SUCCESS","2022-06-07T18:12:53.723+01:00[Europe/London]","0.0","0.12"
"Service CURD test with steps","Update the Services information and verify the updated information","SUCCESS","2022-06-07T18:12:53.848+01:00[Europe/London]","0.0","0.22"
"Service CURD test with steps","Delete the Service and verify if the store is deleted!","SUCCESS","2022-06-07T18:12:54.076+01:00[Europe/London]","0.0","0.15"
"Store CURD test with steps","This will create a new store","SUCCESS","2022-06-07T18:12:54.436+01:00[Europe/London]","0.0","0.12"
"Store CURD test with steps","Verify if the store was added to the application","SUCCESS","2022-06-07T18:12:54.556+01:00[Europe/London]","0.0","0.06"
"Store CURD test with steps","Update the Proudct information and verify the updated information","SUCCESS","2022-06-07T18:12:54.617+01:00[Europe/London]","0.0","0.18"
"Store CURD test with steps","Delete the store and verify if the store is deleted!","SUCCESS","2022-06-07T18:12:54.801+01:00[Europe/London]","0.0","0.11"
"Utility CURD with steps","This will get all Healthcheck","SUCCESS","2022-06-07T18:12:55.059+01:00[Europe/London]","0.0","0.27"
"Utility CURD with steps","This will get all Version","SUCCESS","2022-06-07T18:12:55.332+01:00[Europe/London]","0.0","0.03"
